Model,Accuracy,Precision,Recall,F1,ROC_AUC
XGBClassifier,0.9385964912280702,0.8375,0.7528089887640449,0.7928994082840237,0.9691887219977108
RandomForestClassifier,0.9403508771929825,0.8666666666666667,0.7303370786516854,0.7926829268292683,0.9730897708425799
GradientBoostingClassifier,0.9315789473684211,0.8472222222222222,0.6853932584269663,0.7577639751552795,0.971115886846224
DecisionTreeClassifier,0.9192982456140351,0.7415730337078652,0.7415730337078652,0.7415730337078652,0.8468312737975658
LogisticRegression,0.9052631578947369,0.8571428571428571,0.47191011235955055,0.6086956521739131,0.9264173421476792
